abits=1, wbits=4, nfbits=1, loss=0.043387751620358385
abits=1, wbits=4, nfbits=2, loss=0.04337278304573817
abits=1, wbits=4, nfbits=3, loss=0.04338974443574747
abits=1, wbits=4, nfbits=4, loss=0.043389204101493724
abits=1, wbits=4, nfbits=5, loss=0.04338779797156652
abits=1, wbits=4, nfbits=6, loss=0.04338060011370824
abits=1, wbits=4, nfbits=7, loss=0.043369308567773074
abits=1, wbits=4, nfbits=8, loss=0.04338641756047041
abits=1, wbits=4, nfbits=9, loss=0.04340305050405172
abits=1, wbits=4, nfbits=10, loss=0.043360292577208616
abits=1, wbits=4, nfbits=11, loss=0.0433884663746143
abits=1, wbits=4, nfbits=12, loss=0.043383511857917674
abits=2, wbits=4, nfbits=1, loss=0.03142112991414391
abits=2, wbits=4, nfbits=2, loss=0.03744006832727255
abits=2, wbits=4, nfbits=3, loss=0.038372556010308936
abits=2, wbits=4, nfbits=4, loss=0.03840217579347201
abits=2, wbits=4, nfbits=5, loss=0.03840134063592324
abits=2, wbits=4, nfbits=6, loss=0.038389117313692205
abits=2, wbits=4, nfbits=7, loss=0.038416229809323944
abits=2, wbits=4, nfbits=8, loss=0.038411355565469235
abits=2, wbits=4, nfbits=9, loss=0.03838647381426432
abits=2, wbits=4, nfbits=10, loss=0.03839452450092022
abits=2, wbits=4, nfbits=11, loss=0.03840636691221824
abits=2, wbits=4, nfbits=12, loss=0.03839265054855973
abits=3, wbits=4, nfbits=1, loss=0.033176716858855426
abits=3, wbits=4, nfbits=2, loss=0.04252933889914017
abits=3, wbits=4, nfbits=3, loss=0.0438516931130718
abits=3, wbits=4, nfbits=4, loss=0.043874905635722175
abits=3, wbits=4, nfbits=5, loss=0.04389338054431555
abits=3, wbits=4, nfbits=6, loss=0.043872164896665476
abits=3, wbits=4, nfbits=7, loss=0.04385325534699055
abits=3, wbits=4, nfbits=8, loss=0.04385846700423803
abits=3, wbits=4, nfbits=9, loss=0.0438836034721671
abits=3, wbits=4, nfbits=10, loss=0.04387179150795325
abits=3, wbits=4, nfbits=11, loss=0.043866075766392246
abits=3, wbits=4, nfbits=12, loss=0.0438685148046949
abits=4, wbits=4, nfbits=1, loss=0.03612999055677882
abits=4, wbits=4, nfbits=2, loss=0.047259280911813945
abits=4, wbits=4, nfbits=3, loss=0.04868006868622242
abits=4, wbits=4, nfbits=4, loss=0.048698482724527516
abits=4, wbits=4, nfbits=5, loss=0.04865564265025732
abits=4, wbits=4, nfbits=6, loss=0.04864642795366354
abits=4, wbits=4, nfbits=7, loss=0.04867056260506312
abits=4, wbits=4, nfbits=8, loss=0.04867598937394527
abits=4, wbits=4, nfbits=9, loss=0.048636515314380326
abits=4, wbits=4, nfbits=10, loss=0.048669022794526354
abits=4, wbits=4, nfbits=11, loss=0.04870775733620693
abits=4, wbits=4, nfbits=12, loss=0.048654330058548696
abits=5, wbits=4, nfbits=1, loss=0.03812708101498011
abits=5, wbits=4, nfbits=2, loss=0.04994348307641653
abits=5, wbits=4, nfbits=3, loss=0.051392073719165265
abits=5, wbits=4, nfbits=4, loss=0.051404583864869215
abits=5, wbits=4, nfbits=5, loss=0.051415784165072136
abits=5, wbits=4, nfbits=6, loss=0.05140080291013687
abits=5, wbits=4, nfbits=7, loss=0.05142344052019792
abits=5, wbits=4, nfbits=8, loss=0.051421200999846824
abits=5, wbits=4, nfbits=9, loss=0.0514059014713917
abits=5, wbits=4, nfbits=10, loss=0.051422167951479934
abits=5, wbits=4, nfbits=11, loss=0.05139686551709206
abits=5, wbits=4, nfbits=12, loss=0.0513985931682281
abits=6, wbits=4, nfbits=1, loss=0.03919673457932778
abits=6, wbits=4, nfbits=2, loss=0.05137007165318116
abits=6, wbits=4, nfbits=3, loss=0.05285840020634425
abits=6, wbits=4, nfbits=4, loss=0.05284766375254362
abits=6, wbits=4, nfbits=5, loss=0.05283925094856666
abits=6, wbits=4, nfbits=6, loss=0.05286273345924341
abits=6, wbits=4, nfbits=7, loss=0.052819840562267184
abits=6, wbits=4, nfbits=8, loss=0.05283919005439831
abits=6, wbits=4, nfbits=9, loss=0.05283464006602
abits=6, wbits=4, nfbits=10, loss=0.0528688875432962
abits=6, wbits=4, nfbits=11, loss=0.052859661575311266
abits=6, wbits=4, nfbits=12, loss=0.05283871847085464
abits=7, wbits=4, nfbits=1, loss=0.03975485554203773
abits=7, wbits=4, nfbits=2, loss=0.05212657194202527
abits=7, wbits=4, nfbits=3, loss=0.053533628272513546
