Layer,Quantized Value,Count,Percentage,Hamming Distance,Hamming x Percentage
1,61,9,0.47,5,2.34
1,62,12,0.62,5,3.12
1,63,10,0.52,6,3.12
1,64,4,0.21,1,0.21
1,65,8,0.42,2,0.83
1,66,10,0.52,2,1.04
1,67,9,0.47,3,1.41
1,68,7,0.36,2,0.73
1,69,7,0.36,3,1.09
1,70,3,0.16,3,0.47
1,71,8,0.42,4,1.67
1,72,8,0.42,2,0.83
1,73,8,0.42,3,1.25
1,74,13,0.68,3,2.03
1,75,5,0.26,4,1.04
1,76,10,0.52,3,1.56
1,77,10,0.52,4,2.08
1,78,11,0.57,4,2.29
1,79,15,0.78,5,3.91
1,80,10,0.52,2,1.04
1,81,7,0.36,3,1.09
1,82,5,0.26,3,0.78
1,83,7,0.36,4,1.46
1,84,12,0.62,3,1.88
1,85,7,0.36,4,1.46
1,86,8,0.42,4,1.67
1,87,9,0.47,5,2.34
1,88,8,0.42,3,1.25
1,89,9,0.47,4,1.88
1,90,11,0.57,4,2.29
1,91,6,0.31,5,1.56
1,92,11,0.57,4,2.29
1,93,11,0.57,5,2.86
1,94,10,0.52,5,2.60
1,95,8,0.42,6,2.50
1,96,3,0.16,2,0.31
1,97,8,0.42,3,1.25
1,98,13,0.68,3,2.03
1,99,11,0.57,4,2.29
1,100,2,0.10,3,0.31
1,101,6,0.31,4,1.25
1,102,11,0.57,4,2.29
1,103,11,0.57,5,2.86
1,104,6,0.31,3,0.94
1,105,7,0.36,4,1.46
1,106,5,0.26,4,1.04
1,107,4,0.21,5,1.04
1,108,9,0.47,4,1.88
1,109,9,0.47,5,2.34
1,110,2,0.10,5,0.52
1,111,7,0.36,6,2.19
1,112,7,0.36,3,1.09
1,113,2,0.10,4,0.42
1,114,1,0.05,4,0.21
1,115,0,0.00,5,0.00
1,116,1,0.05,4,0.21
1,117,3,0.16,5,0.78
1,118,1,0.05,5,0.26
1,119,0,0.00,6,0.00
1,120,0,0.00,4,0.00
1,121,0,0.00,5,0.00
1,122,0,0.00,5,0.00
1,123,0,0.00,6,0.00
1,124,0,0.00,5,0.00
1,125,0,0.00,6,0.00
1,126,0,0.00,6,0.00
1,127,0,0.00,7,0.00
3,-128,0,0.00,1,0.00
3,-127,0,0.00,2,0.00
3,-126,0,0.00,2,0.00
3,-125,0,0.00,3,0.00
3,-124,0,0.00,2,0.00
3,-123,0,0.00,3,0.00
3,-122,1,0.01,3,0.02
3,-121,0,0.00,4,0.00
3,-120,2,0.01,2,0.03
3,-119,2,0.01,3,0.04
3,-118,1,0.01,3,0.02
3,-117,1,0.01,4,0.03
3,-116,1,0.01,3,0.02
3,-115,4,0.03,4,0.11
3,-114,4,0.03,4,0.11
3,-113,0,0.00,5,0.00
3,-112,5,0.03,2,0.07
3,-111,4,0.03,3,0.08
3,-110,2,0.01,3,0.04
3,-109,5,0.03,4,0.14
3,-108,9,0.06,3,0.19
3,-107,9,0.06,4,0.25
3,-106,7,0.05,4,0.19
3,-105,10,0.07,5,0.35
3,-104,14,0.10,3,0.29
3,-103,20,0.14,4,0.56
3,-102,11,0.08,4,0.31
3,-101,15,0.10,5,0.52
3,-100,23,0.16,4,0.64
3,-99,19,0.13,5,0.66
3,-98,31,0.22,5,1.08
3,-97,33,0.23,6,1.38
3,-96,46,0.32,2,0.64
3,-95,38,0.26,3,0.79
3,-94,40,0.28,3,0.83
3,-93,36,0.25,4,1.00
3,-92,38,0.26,3,0.79
3,-91,49,0.34,4,1.36
3,-90,57,0.40,4,1.58
3,-89,55,0.38,5,1.91
3,-88,55,0.38,3,1.15
3,-87,67,0.47,4,1.86
3,-86,76,0.53,4,2.11
3,-85,62,0.43,5,2.15
3,-84,56,0.39,4,1.56
3,-83,72,0.50,5,2.50
3,-82,61,0.42,5,2.12
3,-81,73,0.51,6,3.04
3,-80,74,0.51,3,1.54
3,-79,72,0.50,4,2.00
3,-78,64,0.44,4,1.78
3,-77,62,0.43,5,2.15
3,-76,72,0.50,4,2.00
3,-75,64,0.44,5,2.22
3,-74,63,0.44,5,2.19
3,-73,84,0.58,6,3.50
3,-72,75,0.52,4,2.08
3,-71,70,0.49,5,2.43
3,-70,90,0.62,5,3.12
3,-69,76,0.53,6,3.17
3,-68,79,0.55,5,2.74
3,-67,59,0.41,6,2.46
3,-66,73,0.51,6,3.04
3,-65,70,0.49,7,3.40
3,-64,79,0.55,2,1.10
3,-63,64,0.44,3,1.33
3,-62,84,0.58,3,1.75
3,-61,77,0.53,4,2.14
3,-60,79,0.55,3,1.65
3,-59,67,0.47,4,1.86
3,-58,86,0.60,4,2.39
3,-57,82,0.57,5,2.85
3,-56,93,0.65,3,1.94
3,-55,77,0.53,4,2.14
3,-54,82,0.57,4,2.28
3,-53,68,0.47,5,2.36
3,-52,95,0.66,4,2.64
3,-51,76,0.53,5,2.64
3,-50,82,0.57,5,2.85
3,-49,82,0.57,6,3.42
3,-48,66,0.46,3,1.38
3,-47,98,0.68,4,2.72
3,-46,79,0.55,4,2.19
3,-45,87,0.60,5,3.02
3,-44,86,0.60,4,2.39
3,-43,65,0.45,5,2.26
3,-42,78,0.54,5,2.71
3,-41,80,0.56,6,3.33
3,-40,67,0.47,4,1.86
3,-39,86,0.60,5,2.99
3,-38,68,0.47,5,2.36
3,-37,83,0.58,6,3.46
3,-36,71,0.49,5,2.47
3,-35,62,0.43,6,2.58
3,-34,79,0.55,6,3.29
3,-33,80,0.56,7,3.89
3,-32,66,0.46,3,1.38
3,-31,75,0.52,4,2.08
3,-30,68,0.47,4,1.89
3,-29,76,0.53,5,2.64
3,-28,89,0.62,4,2.47
3,-27,86,0.60,5,2.99
3,-26,76,0.53,5,2.64
3,-25,76,0.53,6,3.17
3,-24,82,0.57,4,2.28
3,-23,77,0.53,5,2.67
3,-22,85,0.59,5,2.95
3,-21,66,0.46,6,2.75
3,-20,87,0.60,5,3.02
3,-19,78,0.54,6,3.25
3,-18,93,0.65,6,3.88
3,-17,89,0.62,7,4.33
3,-16,72,0.50,4,2.00
3,-15,84,0.58,5,2.92
3,-14,91,0.63,5,3.16
3,-13,79,0.55,6,3.29
3,-12,77,0.53,5,2.67
3,-11,70,0.49,6,2.92
3,-10,75,0.52,6,3.12
3,-9,63,0.44,7,3.06
3,-8,93,0.65,5,3.23
3,-7,91,0.63,6,3.79
3,-6,71,0.49,6,2.96
3,-5,82,0.57,7,3.99
3,-4,74,0.51,6,3.08
3,-3,88,0.61,7,4.28
3,-2,79,0.55,7,3.84
3,-1,84,0.58,8,4.67
3,0,68,0.47,0,0.00
3,1,73,0.51,1,0.51
3,2,79,0.55,1,0.55
3,3,81,0.56,2,1.12
3,4,83,0.58,1,0.58
3,5,79,0.55,2,1.10
3,6,83,0.58,2,1.15
3,7,74,0.51,3,1.54
3,8,67,0.47,1,0.47
3,9,83,0.58,2,1.15
3,10,58,0.40,2,0.81
3,11,81,0.56,3,1.69
3,12,88,0.61,2,1.22
3,13,82,0.57,3,1.71
3,14,76,0.53,3,1.58
3,15,81,0.56,4,2.25
3,16,94,0.65,1,0.65
3,17,83,0.58,2,1.15
3,18,78,0.54,2,1.08
3,19,78,0.54,3,1.63
3,20,83,0.58,2,1.15
3,21,75,0.52,3,1.56
3,22,77,0.53,3,1.60
3,23,92,0.64,4,2.56
3,24,84,0.58,2,1.17
