Layer,Quantized Value,Count,Percentage,Hamming Distance,Hamming x Percentage
7,-63,2,0.42,3,1.25
7,-62,1,0.21,3,0.62
7,-61,2,0.42,4,1.67
7,-60,2,0.42,3,1.25
7,-59,4,0.83,4,3.33
7,-58,0,0.00,4,0.00
7,-57,0,0.00,5,0.00
7,-56,6,1.25,3,3.75
7,-55,4,0.83,4,3.33
7,-54,1,0.21,4,0.83
7,-53,1,0.21,5,1.04
7,-52,4,0.83,4,3.33
7,-51,0,0.00,5,0.00
7,-50,3,0.62,5,3.12
7,-49,0,0.00,6,0.00
7,-48,1,0.21,3,0.62
7,-47,3,0.62,4,2.50
7,-46,2,0.42,4,1.67
7,-45,2,0.42,5,2.08
7,-44,1,0.21,4,0.83
7,-43,5,1.04,5,5.21
7,-42,6,1.25,5,6.25
7,-41,2,0.42,6,2.50
7,-40,4,0.83,4,3.33
7,-39,3,0.62,5,3.12
7,-38,2,0.42,5,2.08
7,-37,11,2.29,6,13.75
7,-36,1,0.21,5,1.04
7,-35,0,0.00,6,0.00
7,-34,6,1.25,6,7.50
7,-33,0,0.00,7,0.00
7,-32,2,0.42,3,1.25
7,-31,1,0.21,4,0.83
7,-30,3,0.62,4,2.50
7,-29,3,0.62,5,3.12
7,-28,4,0.83,4,3.33
7,-27,0,0.00,5,0.00
7,-26,2,0.42,5,2.08
7,-25,4,0.83,6,5.00
7,-24,2,0.42,4,1.67
7,-23,1,0.21,5,1.04
7,-22,5,1.04,5,5.21
7,-21,2,0.42,6,2.50
7,-20,5,1.04,5,5.21
7,-19,4,0.83,6,5.00
7,-18,5,1.04,6,6.25
7,-17,3,0.62,7,4.38
7,-16,4,0.83,4,3.33
7,-15,4,0.83,5,4.17
7,-14,6,1.25,5,6.25
7,-13,1,0.21,6,1.25
7,-12,6,1.25,5,6.25
7,-11,5,1.04,6,6.25
7,-10,3,0.62,6,3.75
7,-9,3,0.62,7,4.38
7,-8,3,0.62,5,3.12
7,-7,5,1.04,6,6.25
7,-6,4,0.83,6,5.00
7,-5,0,0.00,7,0.00
7,-4,3,0.62,6,3.75
7,-3,4,0.83,7,5.83
7,-2,5,1.04,7,7.29
7,-1,0,0.00,8,0.00
7,0,2,0.42,0,0.00
7,1,5,1.04,1,1.04
7,2,2,0.42,1,0.42
7,3,3,0.62,2,1.25
7,4,2,0.42,1,0.42
7,5,4,0.83,2,1.67
7,6,4,0.83,2,1.67
7,7,1,0.21,3,0.62
7,8,6,1.25,1,1.25
7,9,6,1.25,2,2.50
7,10,2,0.42,2,0.83
7,11,1,0.21,3,0.62
7,12,0,0.00,2,0.00
7,13,3,0.62,3,1.88
7,14,1,0.21,3,0.62
7,15,0,0.00,4,0.00
7,16,3,0.62,1,0.62
7,17,1,0.21,2,0.42
7,18,5,1.04,2,2.08
7,19,0,0.00,3,0.00
7,20,0,0.00,2,0.00
7,21,0,0.00,3,0.00
7,22,2,0.42,3,1.25
7,23,1,0.21,4,0.83
7,24,2,0.42,2,0.83
7,25,2,0.42,3,1.25
7,26,2,0.42,3,1.25
7,27,0,0.00,4,0.00
7,28,2,0.42,3,1.25
7,29,2,0.42,4,1.67
7,30,2,0.42,4,1.67
7,31,2,0.42,5,2.08
7,32,2,0.42,1,0.42
7,33,5,1.04,2,2.08
7,34,3,0.62,2,1.25
7,35,3,0.62,3,1.88
7,36,3,0.62,2,1.25
7,37,2,0.42,3,1.25
7,38,1,0.21,3,0.62
7,39,3,0.62,4,2.50
7,40,1,0.21,2,0.42
7,41,3,0.62,3,1.88
7,42,0,0.00,3,0.00
7,43,2,0.42,4,1.67
7,44,2,0.42,3,1.25
7,45,3,0.62,4,2.50
7,46,5,1.04,4,4.17
7,47,3,0.62,5,3.12
7,48,2,0.42,2,0.83
7,49,2,0.42,3,1.25
7,50,3,0.62,3,1.88
7,51,2,0.42,4,1.67
7,52,5,1.04,3,3.12
7,53,0,0.00,4,0.00
7,54,3,0.62,4,2.50
7,55,2,0.42,5,2.08
7,56,2,0.42,3,1.25
7,57,3,0.62,4,2.50
7,58,2,0.42,4,1.67
7,59,2,0.42,5,2.08
7,60,1,0.21,4,0.83
7,61,1,0.21,5,1.04
7,62,0,0.00,5,0.00
7,63,0,0.00,6,0.00
7,64,1,0.21,1,0.21
7,65,3,0.62,2,1.25
7,66,3,0.62,2,1.25
7,67,1,0.21,3,0.62
7,68,1,0.21,2,0.42
7,69,3,0.62,3,1.88
7,70,4,0.83,3,2.50
7,71,2,0.42,4,1.67
7,72,1,0.21,2,0.42
7,73,3,0.62,3,1.88
7,74,4,0.83,3,2.50
7,75,4,0.83,4,3.33
7,76,6,1.25,3,3.75
7,77,4,0.83,4,3.33
7,78,2,0.42,4,1.67
7,79,2,0.42,5,2.08
7,80,2,0.42,2,0.83
7,81,3,0.62,3,1.88
7,82,2,0.42,3,1.25
7,83,2,0.42,4,1.67
7,84,1,0.21,3,0.62
7,85,1,0.21,4,0.83
7,86,4,0.83,4,3.33
7,87,3,0.62,5,3.12
7,88,1,0.21,3,0.62
7,89,2,0.42,4,1.67
7,90,0,0.00,4,0.00
7,91,2,0.42,5,2.08
7,92,1,0.21,4,0.83
7,93,0,0.00,5,0.00
7,94,0,0.00,5,0.00
7,95,1,0.21,6,1.25
7,96,2,0.42,2,0.83
7,97,0,0.00,3,0.00
7,98,2,0.42,3,1.25
7,99,3,0.62,4,2.50
7,100,0,0.00,3,0.00
7,101,1,0.21,4,0.83
7,102,2,0.42,4,1.67
7,103,2,0.42,5,2.08
7,104,0,0.00,3,0.00
7,105,0,0.00,4,0.00
7,106,0,0.00,4,0.00
7,107,2,0.42,5,2.08
7,108,0,0.00,4,0.00
7,109,0,0.00,5,0.00
7,110,0,0.00,5,0.00
7,111,1,0.21,6,1.25
7,112,0,0.00,3,0.00
7,113,2,0.42,4,1.67
7,114,0,0.00,4,0.00
7,115,0,0.00,5,0.00
7,116,0,0.00,4,0.00
7,117,1,0.21,5,1.04
7,118,0,0.00,5,0.00
7,119,1,0.21,6,1.25
7,120,0,0.00,4,0.00
7,121,0,0.00,5,0.00
7,122,0,0.00,5,0.00
7,123,0,0.00,6,0.00
7,124,0,0.00,5,0.00
7,125,0,0.00,6,0.00
7,126,0,0.00,6,0.00
7,127,1,0.21,7,1.46
