abits=1, wbits=4, nfbits=1, loss=0.05685722510306499
abits=1, wbits=4, nfbits=2, loss=0.05682550492481543
abits=1, wbits=4, nfbits=3, loss=0.056800878869417384
abits=1, wbits=4, nfbits=4, loss=0.05684387748344587
abits=1, wbits=4, nfbits=5, loss=0.056842306413902685
abits=1, wbits=4, nfbits=6, loss=0.05685457059492668
abits=1, wbits=4, nfbits=7, loss=0.056824466619545065
abits=1, wbits=4, nfbits=8, loss=0.05683012576534962
abits=1, wbits=4, nfbits=9, loss=0.056866322261973835
abits=1, wbits=4, nfbits=10, loss=0.05688433915090103
abits=1, wbits=4, nfbits=11, loss=0.05684473408529392
abits=1, wbits=4, nfbits=12, loss=0.05682749774020452
abits=2, wbits=4, nfbits=1, loss=0.023709319675197967
abits=2, wbits=4, nfbits=2, loss=0.018404754750335064
abits=2, wbits=4, nfbits=3, loss=0.01708154516437879
abits=2, wbits=4, nfbits=4, loss=0.01700484751461026
abits=2, wbits=4, nfbits=5, loss=0.01699680703668258
abits=2, wbits=4, nfbits=6, loss=0.017017562772171237
abits=2, wbits=4, nfbits=7, loss=0.016997661005753357
abits=2, wbits=4, nfbits=8, loss=0.01699503945807616
abits=2, wbits=4, nfbits=9, loss=0.017012800412395827
abits=2, wbits=4, nfbits=10, loss=0.017004936133535244
abits=2, wbits=4, nfbits=11, loss=0.017009664679137178
abits=2, wbits=4, nfbits=12, loss=0.016990391465906914
abits=3, wbits=4, nfbits=1, loss=0.014432811273787266
abits=3, wbits=4, nfbits=2, loss=0.007928419843292197
abits=3, wbits=4, nfbits=3, loss=0.0061691922959513385
abits=3, wbits=4, nfbits=4, loss=0.006070105126127601
abits=3, wbits=4, nfbits=5, loss=0.006067983770313172
abits=3, wbits=4, nfbits=6, loss=0.006069789974926374
abits=3, wbits=4, nfbits=7, loss=0.006073996732130838
abits=3, wbits=4, nfbits=8, loss=0.006068133877423138
abits=3, wbits=4, nfbits=9, loss=0.006070128167406297
abits=3, wbits=4, nfbits=10, loss=0.006071983824651211
abits=3, wbits=4, nfbits=11, loss=0.006073458935134113
abits=3, wbits=4, nfbits=12, loss=0.006073412768996487
abits=4, wbits=4, nfbits=1, loss=0.012827733209213385
abits=4, wbits=4, nfbits=2, loss=0.005945095571522147
abits=4, wbits=4, nfbits=3, loss=0.004050928620227541
abits=4, wbits=4, nfbits=4, loss=0.003954978098567479
abits=4, wbits=4, nfbits=5, loss=0.003952161144787589
abits=4, wbits=4, nfbits=6, loss=0.003950578818778292
abits=4, wbits=4, nfbits=7, loss=0.003954660025043175
abits=4, wbits=4, nfbits=8, loss=0.003954873082992167
abits=4, wbits=4, nfbits=9, loss=0.003954558418347285
abits=4, wbits=4, nfbits=10, loss=0.003957656837510279
abits=4, wbits=4, nfbits=11, loss=0.003953074022996215
abits=4, wbits=4, nfbits=12, loss=0.003954449298385627
abits=5, wbits=4, nfbits=1, loss=0.01236754976427899
abits=5, wbits=4, nfbits=2, loss=0.005466484634850461
abits=5, wbits=4, nfbits=3, loss=0.0035522870916443374
abits=5, wbits=4, nfbits=4, loss=0.0034457047138578044
abits=5, wbits=4, nfbits=5, loss=0.003437335902932458
abits=5, wbits=4, nfbits=6, loss=0.003442334684316451
abits=5, wbits=4, nfbits=7, loss=0.0034402389995729886
abits=5, wbits=4, nfbits=8, loss=0.0034386974278813563
abits=5, wbits=4, nfbits=9, loss=0.0034420411550224973
abits=5, wbits=4, nfbits=10, loss=0.0034385712277024793
abits=5, wbits=4, nfbits=11, loss=0.0034434948973238277
abits=5, wbits=4, nfbits=12, loss=0.0034409990289415685
abits=6, wbits=4, nfbits=1, loss=0.01229525224950451
abits=6, wbits=4, nfbits=2, loss=0.0053524809982030625
