abits=1, wbits=16, nfbits=1, loss=0.057608185932995416
abits=1, wbits=16, nfbits=2, loss=0.05757296882951871
abits=1, wbits=16, nfbits=3, loss=0.05758986259118105
abits=1, wbits=16, nfbits=4, loss=0.0575950411028969
abits=1, wbits=16, nfbits=5, loss=0.05761125311255455
abits=1, wbits=16, nfbits=6, loss=0.05758529185102536
abits=1, wbits=16, nfbits=7, loss=0.05761746904597832
abits=1, wbits=16, nfbits=8, loss=0.057580215545992054
abits=1, wbits=16, nfbits=9, loss=0.05760770343626157
abits=1, wbits=16, nfbits=10, loss=0.057591426687744945
abits=1, wbits=16, nfbits=11, loss=0.057597766224390425
abits=1, wbits=16, nfbits=12, loss=0.057594395553072296
abits=2, wbits=16, nfbits=1, loss=0.021669554476363536
abits=2, wbits=16, nfbits=2, loss=0.01531225827952417
abits=2, wbits=16, nfbits=3, loss=0.01376164809633524
abits=2, wbits=16, nfbits=4, loss=0.013663885631383611
abits=2, wbits=16, nfbits=5, loss=0.013658516610471102
abits=2, wbits=16, nfbits=6, loss=0.013664614313688034
abits=2, wbits=16, nfbits=7, loss=0.013667115571502691
abits=2, wbits=16, nfbits=8, loss=0.013670147486174336
abits=2, wbits=16, nfbits=9, loss=0.013662801858467551
abits=2, wbits=16, nfbits=10, loss=0.013662359826505566
abits=2, wbits=16, nfbits=11, loss=0.01367214895808735
abits=2, wbits=16, nfbits=12, loss=0.013668397495236535
abits=3, wbits=16, nfbits=1, loss=0.013556100320644103
abits=3, wbits=16, nfbits=2, loss=0.0061860763115617326
abits=3, wbits=16, nfbits=3, loss=0.004249409356047041
abits=3, wbits=16, nfbits=4, loss=0.0041455732918201154
abits=3, wbits=16, nfbits=5, loss=0.004141148220067128
abits=3, wbits=16, nfbits=6, loss=0.004136827737033271
abits=3, wbits=16, nfbits=7, loss=0.004141014837958396
abits=3, wbits=16, nfbits=8, loss=0.004139668412673741
abits=3, wbits=16, nfbits=9, loss=0.004144364069454754
abits=3, wbits=16, nfbits=10, loss=0.004137377702416136
abits=3, wbits=16, nfbits=11, loss=0.004132899343788337
abits=3, wbits=16, nfbits=12, loss=0.004132632173609753
abits=4, wbits=16, nfbits=1, loss=0.012119373796173396
abits=4, wbits=16, nfbits=2, loss=0.004360999507554926
abits=4, wbits=16, nfbits=3, loss=0.00234437481730054
abits=4, wbits=16, nfbits=4, loss=0.002226548967882991
abits=4, wbits=16, nfbits=5, loss=0.002225165591181184
abits=4, wbits=16, nfbits=6, loss=0.0022242489466383956
abits=4, wbits=16, nfbits=7, loss=0.0022253783357043108
abits=4, wbits=16, nfbits=8, loss=0.002225965708464336
abits=4, wbits=16, nfbits=9, loss=0.002225537962005593
abits=4, wbits=16, nfbits=10, loss=0.0022365823111986406
abits=4, wbits=16, nfbits=11, loss=0.0022254906130584483
abits=4, wbits=16, nfbits=12, loss=0.0022246415356699475
abits=5, wbits=16, nfbits=1, loss=0.011695773418371877
abits=5, wbits=16, nfbits=2, loss=0.003931242390535772
abits=5, wbits=16, nfbits=3, loss=0.0018892955443171116
abits=5, wbits=16, nfbits=4, loss=0.0017666642103368081
abits=5, wbits=16, nfbits=5, loss=0.0017666180378560407
abits=5, wbits=16, nfbits=6, loss=0.0017660876548735616
abits=5, wbits=16, nfbits=7, loss=0.0017675822003720663
abits=5, wbits=16, nfbits=8, loss=0.0017696020532196436
abits=5, wbits=16, nfbits=9, loss=0.0017710787304587518
abits=5, wbits=16, nfbits=10, loss=0.0017663934831477653
abits=5, wbits=16, nfbits=11, loss=0.0017696281593555633
abits=5, wbits=16, nfbits=12, loss=0.0017769014826999642
abits=6, wbits=16, nfbits=1, loss=0.011633648740079923
abits=6, wbits=16, nfbits=2, loss=0.003824107552645728
abits=6, wbits=16, nfbits=3, loss=0.001773109028969581
abits=6, wbits=16, nfbits=4, loss=0.0016506787226087628
abits=6, wbits=16, nfbits=5, loss=0.001658404111647262
abits=6, wbits=16, nfbits=6, loss=0.0016487614626291757
abits=6, wbits=16, nfbits=7, loss=0.0016526490231999792
abits=6, wbits=16, nfbits=8, loss=0.0016492905848187944
abits=6, wbits=16, nfbits=9, loss=0.0016476387405791916
abits=6, wbits=16, nfbits=10, loss=0.0016535115368568744
abits=6, wbits=16, nfbits=11, loss=0.0016527318060607053
abits=6, wbits=16, nfbits=12, loss=0.0016493596724616603
abits=7, wbits=16, nfbits=1, loss=0.011609155427998839
abits=7, wbits=16, nfbits=2, loss=0.0037947304752798607
abits=7, wbits=16, nfbits=3, loss=0.0017305134175470672
abits=7, wbits=16, nfbits=4, loss=0.0016120920735351646
abits=7, wbits=16, nfbits=5, loss=0.0016117263615179139
abits=7, wbits=16, nfbits=6, loss=0.0016110952065224783
abits=7, wbits=16, nfbits=7, loss=0.0016085879055586143
abits=7, wbits=16, nfbits=8, loss=0.0016150291548677697
abits=7, wbits=16, nfbits=9, loss=0.001610721858480993
abits=7, wbits=16, nfbits=10, loss=0.0016122833028650628
abits=7, wbits=16, nfbits=11, loss=0.0016084091584138477
abits=7, wbits=16, nfbits=12, loss=0.0016122109496231692
abits=8, wbits=16, nfbits=1, loss=0.011602937345369121
abits=8, wbits=16, nfbits=2, loss=0.0037756130361977294
abits=8, wbits=16, nfbits=3, loss=0.001722962326498535
abits=8, wbits=16, nfbits=4, loss=0.0016051712819040776
abits=8, wbits=16, nfbits=5, loss=0.0016015282285829575
abits=8, wbits=16, nfbits=6, loss=0.0016068079302129217
abits=8, wbits=16, nfbits=7, loss=0.0016007525148616435
abits=8, wbits=16, nfbits=8, loss=0.0016061729790332417
abits=8, wbits=16, nfbits=9, loss=0.001601289524935568
abits=8, wbits=16, nfbits=10, loss=0.0016053699215169614
abits=8, wbits=16, nfbits=11, loss=0.001604465668489679
abits=8, wbits=16, nfbits=12, loss=0.001601567421741306
abits=9, wbits=16, nfbits=1, loss=0.011614511523825618
abits=9, wbits=16, nfbits=2, loss=0.003791726001789077
abits=9, wbits=16, nfbits=3, loss=0.0017203823614787932
abits=9, wbits=16, nfbits=4, loss=0.0016000565348151259
abits=9, wbits=16, nfbits=5, loss=0.0016068842721720918
abits=9, wbits=16, nfbits=6, loss=0.0016004871177779606
abits=9, wbits=16, nfbits=7, loss=0.0016033801314337419
abits=9, wbits=16, nfbits=8, loss=0.0015995368605497507
abits=9, wbits=16, nfbits=9, loss=0.0016058824877314365
abits=9, wbits=16, nfbits=10, loss=0.001605751588030193
abits=9, wbits=16, nfbits=11, loss=0.0016070862027565734
abits=9, wbits=16, nfbits=12, loss=0.0016002884225692982
abits=10, wbits=16, nfbits=1, loss=0.011603268902175702
abits=10, wbits=16, nfbits=2, loss=0.0037846549142462513
abits=10, wbits=16, nfbits=3, loss=0.0017226537889562165
abits=10, wbits=16, nfbits=4, loss=0.0016031938531131556
abits=10, wbits=16, nfbits=5, loss=0.0016041722492679046
abits=10, wbits=16, nfbits=6, loss=0.001600447590671814
abits=10, wbits=16, nfbits=7, loss=0.0016013080461655194
abits=10, wbits=16, nfbits=8, loss=0.0016031594762656216
abits=10, wbits=16, nfbits=9, loss=0.0016038684627393452
abits=10, wbits=16, nfbits=10, loss=0.0016066509814640412
abits=10, wbits=16, nfbits=11, loss=0.0016033981183472162
abits=10, wbits=16, nfbits=12, loss=0.0016022032430508914
abits=11, wbits=16, nfbits=1, loss=0.011617152885987591
abits=11, wbits=16, nfbits=2, loss=0.0037842581760532293
abits=11, wbits=16, nfbits=3, loss=0.0017195428465642275
abits=11, wbits=16, nfbits=4, loss=0.001608337952534501
abits=11, wbits=16, nfbits=5, loss=0.0016008686096682094
abits=11, wbits=16, nfbits=6, loss=0.0016007787236072219
abits=11, wbits=16, nfbits=7, loss=0.0016027732255259673
abits=11, wbits=16, nfbits=8, loss=0.0016029497794359205
abits=11, wbits=16, nfbits=9, loss=0.0016005543573275926
abits=11, wbits=16, nfbits=10, loss=0.0016037067708123524
abits=11, wbits=16, nfbits=11, loss=0.001600175970965304
abits=11, wbits=16, nfbits=12, loss=0.001604545740589786
abits=12, wbits=16, nfbits=1, loss=0.011632187912861506
abits=12, wbits=16, nfbits=2, loss=0.00378636776869639
abits=12, wbits=16, nfbits=3, loss=0.0017189937479531344
abits=12, wbits=16, nfbits=4, loss=0.0016016117849339468
abits=12, wbits=16, nfbits=5, loss=0.0016048223355588003
abits=12, wbits=16, nfbits=6, loss=0.001607781282076851
abits=12, wbits=16, nfbits=7, loss=0.0016002656771795442
abits=12, wbits=16, nfbits=8, loss=0.0016034602837559457
abits=12, wbits=16, nfbits=9, loss=0.0016004552155022677
abits=12, wbits=16, nfbits=10, loss=0.0016063265718865949
abits=12, wbits=16, nfbits=11, loss=0.0016044126834738283
abits=12, wbits=16, nfbits=12, loss=0.0016039891033403527
