abits=1, wbits=16, nfbits=1, loss=0.014686260802241472
abits=1, wbits=16, nfbits=2, loss=0.014685280262850799
abits=1, wbits=16, nfbits=3, loss=0.01468523726082192
abits=1, wbits=16, nfbits=4, loss=0.014673139870119018
abits=1, wbits=16, nfbits=5, loss=0.0146712395004355
abits=1, wbits=16, nfbits=6, loss=0.014672173843838466
abits=1, wbits=16, nfbits=7, loss=0.014674322279647756
abits=1, wbits=16, nfbits=8, loss=0.014687116269786388
abits=1, wbits=16, nfbits=9, loss=0.014670644379340304
abits=1, wbits=16, nfbits=10, loss=0.014674563498164598
abits=1, wbits=16, nfbits=11, loss=0.014683156226498958
abits=1, wbits=16, nfbits=12, loss=0.014676306665373536
abits=2, wbits=16, nfbits=1, loss=0.010990034860487167
abits=2, wbits=16, nfbits=2, loss=0.006320934614333778
abits=2, wbits=16, nfbits=3, loss=0.00557400606190547
abits=2, wbits=16, nfbits=4, loss=0.005553234511843095
abits=2, wbits=16, nfbits=5, loss=0.005560356013190288
abits=2, wbits=16, nfbits=6, loss=0.005553159847831688
abits=2, wbits=16, nfbits=7, loss=0.005554792608540409
abits=2, wbits=16, nfbits=8, loss=0.005555712340327983
abits=2, wbits=16, nfbits=9, loss=0.0055521457539632535
abits=2, wbits=16, nfbits=10, loss=0.005553985483204134
abits=2, wbits=16, nfbits=11, loss=0.005554964404720335
abits=2, wbits=16, nfbits=12, loss=0.0055563044196997695
abits=3, wbits=16, nfbits=1, loss=0.007602062458411241
abits=3, wbits=16, nfbits=2, loss=0.003387835790188267
abits=3, wbits=16, nfbits=3, loss=0.0027575464456533203
abits=3, wbits=16, nfbits=4, loss=0.0027402194704896268
abits=3, wbits=16, nfbits=5, loss=0.002738986778496884
abits=3, wbits=16, nfbits=6, loss=0.0027394341842199746
abits=3, wbits=16, nfbits=7, loss=0.002734148857715086
abits=3, wbits=16, nfbits=8, loss=0.0027356985016152835
abits=3, wbits=16, nfbits=9, loss=0.0027377954273759266
abits=3, wbits=16, nfbits=10, loss=0.0027391569821749073
abits=3, wbits=16, nfbits=11, loss=0.002739034533405151
abits=3, wbits=16, nfbits=12, loss=0.002735340125255812
abits=4, wbits=16, nfbits=1, loss=0.006368704999868686
abits=4, wbits=16, nfbits=2, loss=0.0025446768342636717
abits=4, wbits=16, nfbits=3, loss=0.0019843669538087663
abits=4, wbits=16, nfbits=4, loss=0.0019644628303537434
abits=4, wbits=16, nfbits=5, loss=0.00197049924873938
abits=4, wbits=16, nfbits=6, loss=0.0019621225730635417
abits=4, wbits=16, nfbits=7, loss=0.001961586640577596
abits=4, wbits=16, nfbits=8, loss=0.0019648869772656606
abits=4, wbits=16, nfbits=9, loss=0.0019644119318586607
abits=4, wbits=16, nfbits=10, loss=0.001967706581732879
abits=4, wbits=16, nfbits=11, loss=0.001966186916270556
abits=4, wbits=16, nfbits=12, loss=0.0019634903870517006
abits=5, wbits=16, nfbits=1, loss=0.0058896372136540516
abits=5, wbits=16, nfbits=2, loss=0.0022993732298998973
abits=5, wbits=16, nfbits=3, loss=0.0017606269938345903
abits=5, wbits=16, nfbits=4, loss=0.001753140807686111
abits=5, wbits=16, nfbits=5, loss=0.00175231537678673
abits=5, wbits=16, nfbits=6, loss=0.0017557801374305899
abits=5, wbits=16, nfbits=7, loss=0.0017538862459612293
abits=5, wbits=16, nfbits=8, loss=0.0017533038230911375
abits=5, wbits=16, nfbits=9, loss=0.0017531413434950921
abits=5, wbits=16, nfbits=10, loss=0.0017510643176650868
abits=5, wbits=16, nfbits=11, loss=0.0017510119035320643
abits=5, wbits=16, nfbits=12, loss=0.0017540327512856142
abits=6, wbits=16, nfbits=1, loss=0.005690824585214544
abits=6, wbits=16, nfbits=2, loss=0.0022254717687013536
abits=6, wbits=16, nfbits=3, loss=0.0017059859737622528
abits=6, wbits=16, nfbits=4, loss=0.0016950485759223693
abits=6, wbits=16, nfbits=5, loss=0.0016961122847323378
abits=6, wbits=16, nfbits=6, loss=0.0016982061016068866
abits=6, wbits=16, nfbits=7, loss=0.0016935850842109618
abits=6, wbits=16, nfbits=8, loss=0.001695034061319744
abits=6, wbits=16, nfbits=9, loss=0.0016929079824760079
abits=6, wbits=16, nfbits=10, loss=0.001693275572436575
abits=6, wbits=16, nfbits=11, loss=0.001699913833409739
abits=6, wbits=16, nfbits=12, loss=0.0016932260578659435
abits=7, wbits=16, nfbits=1, loss=0.005599768448752375
abits=7, wbits=16, nfbits=2, loss=0.002198268944481149
abits=7, wbits=16, nfbits=3, loss=0.001687711930851667
abits=7, wbits=16, nfbits=4, loss=0.0016831406269025488
abits=7, wbits=16, nfbits=5, loss=0.0016800415092476238
abits=7, wbits=16, nfbits=6, loss=0.0016787241933903156
abits=7, wbits=16, nfbits=7, loss=0.0016774869966469945
abits=7, wbits=16, nfbits=8, loss=0.0016871481836857034
abits=7, wbits=16, nfbits=9, loss=0.0016789450590015175
abits=7, wbits=16, nfbits=10, loss=0.0016822544376527031
abits=7, wbits=16, nfbits=11, loss=0.0016826192433468234
abits=7, wbits=16, nfbits=12, loss=0.0016875252267942787
abits=8, wbits=16, nfbits=1, loss=0.005558089121806029
abits=8, wbits=16, nfbits=2, loss=0.002188445780820285
abits=8, wbits=16, nfbits=3, loss=0.0016844922196096145
abits=8, wbits=16, nfbits=4, loss=0.0016760801529296888
abits=8, wbits=16, nfbits=5, loss=0.001679310758705609
abits=8, wbits=16, nfbits=6, loss=0.0016784784104227303
abits=8, wbits=16, nfbits=7, loss=0.0016873813490234076
abits=8, wbits=16, nfbits=8, loss=0.00167983770221233
abits=8, wbits=16, nfbits=9, loss=0.0016803809479684927
abits=8, wbits=16, nfbits=10, loss=0.001677346006498481
abits=8, wbits=16, nfbits=11, loss=0.0016796418151501806
abits=8, wbits=16, nfbits=12, loss=0.001675220082128922
abits=9, wbits=16, nfbits=1, loss=0.005539251727243073
abits=9, wbits=16, nfbits=2, loss=0.0021849314522487708
abits=9, wbits=16, nfbits=3, loss=0.0016856957394898368
abits=9, wbits=16, nfbits=4, loss=0.0016766091922853286
abits=9, wbits=16, nfbits=5, loss=0.001671173110923682
