abits=1, wbits=4, nfbits=1, loss=0.05058120979139438
abits=1, wbits=4, nfbits=2, loss=0.05058238075043146
abits=1, wbits=4, nfbits=3, loss=0.05059582307839241
abits=1, wbits=4, nfbits=4, loss=0.050579361904125944
abits=1, wbits=4, nfbits=5, loss=0.05061751458411797
abits=1, wbits=4, nfbits=6, loss=0.05059845817203705
abits=1, wbits=4, nfbits=7, loss=0.05059233018889641
abits=1, wbits=4, nfbits=8, loss=0.05059720334620812
abits=1, wbits=4, nfbits=9, loss=0.05063403631823185
abits=1, wbits=4, nfbits=10, loss=0.0505884013687953
abits=1, wbits=4, nfbits=11, loss=0.0505946871275321
abits=1, wbits=4, nfbits=12, loss=0.05060535829323225
abits=2, wbits=4, nfbits=1, loss=0.0522132746111124
abits=2, wbits=4, nfbits=2, loss=0.05742057264806368
abits=2, wbits=4, nfbits=3, loss=0.05800427295840704
abits=2, wbits=4, nfbits=4, loss=0.05791986896059452
abits=2, wbits=4, nfbits=5, loss=0.05791529263250339
abits=2, wbits=4, nfbits=6, loss=0.05795255613823732
abits=2, wbits=4, nfbits=7, loss=0.0579351455403062
abits=2, wbits=4, nfbits=8, loss=0.05794843799697283
abits=2, wbits=4, nfbits=9, loss=0.057952116768902696
abits=2, wbits=4, nfbits=10, loss=0.05793091781341877
abits=2, wbits=4, nfbits=11, loss=0.05794937736712969
abits=2, wbits=4, nfbits=12, loss=0.05793759088294628
abits=3, wbits=4, nfbits=1, loss=0.050090629392518446
abits=3, wbits=4, nfbits=2, loss=0.05667360903074344
abits=3, wbits=4, nfbits=3, loss=0.05703397773397274
abits=3, wbits=4, nfbits=4, loss=0.057011282978913724
abits=3, wbits=4, nfbits=5, loss=0.05706101488799621
abits=3, wbits=4, nfbits=6, loss=0.05703451904730919
abits=3, wbits=4, nfbits=7, loss=0.05704471872498592
abits=3, wbits=4, nfbits=8, loss=0.05702136163241588
abits=3, wbits=4, nfbits=9, loss=0.057041675043411746
abits=3, wbits=4, nfbits=10, loss=0.05700426866324284
abits=3, wbits=4, nfbits=11, loss=0.057030572149998106
abits=3, wbits=4, nfbits=12, loss=0.057000215022036664
abits=4, wbits=4, nfbits=1, loss=0.0524359757367235
abits=4, wbits=4, nfbits=2, loss=0.05917461961507797
abits=4, wbits=4, nfbits=3, loss=0.05938153623197323
abits=4, wbits=4, nfbits=4, loss=0.0593161925386924
abits=4, wbits=4, nfbits=5, loss=0.05934419790999247
abits=4, wbits=4, nfbits=6, loss=0.059324438468768045
abits=4, wbits=4, nfbits=7, loss=0.059337580242218115
abits=4, wbits=4, nfbits=8, loss=0.05933372695476581
abits=4, wbits=4, nfbits=9, loss=0.05932308838535578
abits=4, wbits=4, nfbits=10, loss=0.05933303779994066
abits=4, wbits=4, nfbits=11, loss=0.059346757924709566
abits=4, wbits=4, nfbits=12, loss=0.05933403598670012
abits=5, wbits=4, nfbits=1, loss=0.05397254582016896
abits=5, wbits=4, nfbits=2, loss=0.06079292218559063
abits=5, wbits=4, nfbits=3, loss=0.06098245877103928
abits=5, wbits=4, nfbits=4, loss=0.06088882935448335
abits=5, wbits=4, nfbits=5, loss=0.06091733272068012
abits=5, wbits=4, nfbits=6, loss=0.06089473413064694
abits=5, wbits=4, nfbits=7, loss=0.06089552393995035
abits=5, wbits=4, nfbits=8, loss=0.060933357797180995
abits=5, wbits=4, nfbits=9, loss=0.06090007612529474
abits=5, wbits=4, nfbits=10, loss=0.06091407225586665
abits=5, wbits=4, nfbits=11, loss=0.06089543419866226
abits=5, wbits=4, nfbits=12, loss=0.06091537613135118
abits=6, wbits=4, nfbits=1, loss=0.05482477539529403
abits=6, wbits=4, nfbits=2, loss=0.061650642981896035
abits=6, wbits=4, nfbits=3, loss=0.061856867076876834
abits=6, wbits=4, nfbits=4, loss=0.061814589282641046
abits=6, wbits=4, nfbits=5, loss=0.06180325702119332
abits=6, wbits=4, nfbits=6, loss=0.06180047387113938
abits=6, wbits=4, nfbits=7, loss=0.061805299936960906
abits=6, wbits=4, nfbits=8, loss=0.061800267977210194
abits=6, wbits=4, nfbits=9, loss=0.06181294893702635
abits=6, wbits=4, nfbits=10, loss=0.061793008126700535
abits=6, wbits=4, nfbits=11, loss=0.061810648474746786
abits=6, wbits=4, nfbits=12, loss=0.06178809198527
abits=7, wbits=4, nfbits=1, loss=0.055273435627802826
abits=7, wbits=4, nfbits=2, loss=0.06213775382210047
abits=7, wbits=4, nfbits=3, loss=0.06229338532265944
abits=7, wbits=4, nfbits=4, loss=0.062239986939881094
abits=7, wbits=4, nfbits=5, loss=0.062269725072651334
abits=7, wbits=4, nfbits=6, loss=0.06223215332302528
abits=7, wbits=4, nfbits=7, loss=0.062255338980601385
abits=7, wbits=4, nfbits=8, loss=0.06228999712337286
abits=7, wbits=4, nfbits=9, loss=0.06224106753674837
abits=7, wbits=4, nfbits=10, loss=0.06228261197415682
abits=7, wbits=4, nfbits=11, loss=0.06226495541154574
abits=7, wbits=4, nfbits=12, loss=0.06227200337422964
abits=8, wbits=4, nfbits=1, loss=0.055499111684278034
abits=8, wbits=4, nfbits=2, loss=0.0623840396411908
abits=8, wbits=4, nfbits=3, loss=0.0625320340339572
abits=8, wbits=4, nfbits=4, loss=0.06253101750730704
abits=8, wbits=4, nfbits=5, loss=0.06249310842786844
abits=8, wbits=4, nfbits=6, loss=0.06248486753648672
abits=8, wbits=4, nfbits=7, loss=0.06246277809334107
abits=8, wbits=4, nfbits=8, loss=0.06249174282241326
abits=8, wbits=4, nfbits=9, loss=0.06247337353535187
abits=8, wbits=4, nfbits=10, loss=0.0624721079873733
