abits=1, wbits=4, nfbits=1, loss=0.06914026528978959
abits=1, wbits=4, nfbits=2, loss=0.069137117276207
abits=1, wbits=4, nfbits=3, loss=0.06914594936638306
abits=1, wbits=4, nfbits=4, loss=0.06911334947038156
abits=1, wbits=4, nfbits=5, loss=0.06913265189490257
abits=1, wbits=4, nfbits=6, loss=0.06916085530359012
abits=1, wbits=4, nfbits=7, loss=0.0691485137033921
abits=1, wbits=4, nfbits=8, loss=0.06914546741889073
abits=1, wbits=4, nfbits=9, loss=0.06912338800537281
abits=1, wbits=4, nfbits=10, loss=0.06913478467135857
abits=1, wbits=4, nfbits=11, loss=0.06914506427561626
abits=1, wbits=4, nfbits=12, loss=0.06916253252002673
abits=2, wbits=4, nfbits=1, loss=0.015871716185640067
abits=2, wbits=4, nfbits=2, loss=0.015861198670254685
abits=2, wbits=4, nfbits=3, loss=0.015915414306502312
abits=2, wbits=4, nfbits=4, loss=0.015903179426319324
abits=2, wbits=4, nfbits=5, loss=0.015911740065814976
abits=2, wbits=4, nfbits=6, loss=0.0159025565506174
abits=2, wbits=4, nfbits=7, loss=0.01589893561620743
abits=2, wbits=4, nfbits=8, loss=0.015904968198484335
abits=2, wbits=4, nfbits=9, loss=0.01591304435323064
abits=2, wbits=4, nfbits=10, loss=0.015909987788360853
abits=2, wbits=4, nfbits=11, loss=0.015908483690462816
abits=2, wbits=4, nfbits=12, loss=0.015905686910861194
abits=3, wbits=4, nfbits=1, loss=0.011823508034770688
abits=3, wbits=4, nfbits=2, loss=0.011759433549088545
abits=3, wbits=4, nfbits=3, loss=0.011762885639491754
abits=3, wbits=4, nfbits=4, loss=0.011763434230278317
abits=3, wbits=4, nfbits=5, loss=0.01176964955476041
abits=3, wbits=4, nfbits=6, loss=0.011759955310620941
abits=3, wbits=4, nfbits=7, loss=0.01175244248066193
abits=3, wbits=4, nfbits=8, loss=0.011764582724143297
abits=3, wbits=4, nfbits=9, loss=0.011763309809164358
abits=3, wbits=4, nfbits=10, loss=0.01176507156700469
abits=3, wbits=4, nfbits=11, loss=0.011763628440885207
abits=3, wbits=4, nfbits=12, loss=0.01176025018764612
abits=4, wbits=4, nfbits=1, loss=0.011688273382158233
abits=4, wbits=4, nfbits=2, loss=0.011556698994424481
abits=4, wbits=4, nfbits=3, loss=0.011539935988063613
abits=4, wbits=4, nfbits=4, loss=0.011533507139971241
abits=4, wbits=4, nfbits=5, loss=0.01152902377100709
abits=4, wbits=4, nfbits=6, loss=0.011537489308139835
abits=4, wbits=4, nfbits=7, loss=0.011532662167715339
abits=4, wbits=4, nfbits=8, loss=0.011536413720116401
abits=4, wbits=4, nfbits=9, loss=0.011534343593013592
abits=4, wbits=4, nfbits=10, loss=0.011536961803451562
abits=4, wbits=4, nfbits=11, loss=0.011536393547430634
abits=4, wbits=4, nfbits=12, loss=0.011531718373776246
abits=5, wbits=4, nfbits=1, loss=0.012240634377424916
abits=5, wbits=4, nfbits=2, loss=0.012048775282425758
abits=5, wbits=4, nfbits=3, loss=0.012017497333148733
abits=5, wbits=4, nfbits=4, loss=0.01200459834235983
abits=5, wbits=4, nfbits=5, loss=0.012015852420471417
abits=5, wbits=4, nfbits=6, loss=0.01201272445420424
abits=5, wbits=4, nfbits=7, loss=0.01201469932969373
abits=5, wbits=4, nfbits=8, loss=0.01201856388256718
abits=5, wbits=4, nfbits=9, loss=0.012021975663418952
abits=5, wbits=4, nfbits=10, loss=0.012013592219983157
abits=5, wbits=4, nfbits=11, loss=0.012008135475648137
abits=5, wbits=4, nfbits=12, loss=0.01201612690392022
abits=6, wbits=4, nfbits=1, loss=0.012681684522435833
abits=6, wbits=4, nfbits=2, loss=0.012452260835860401
abits=6, wbits=4, nfbits=3, loss=0.01241181220095127
abits=6, wbits=4, nfbits=4, loss=0.012411817173975019
abits=6, wbits=4, nfbits=5, loss=0.012422302797532234
abits=6, wbits=4, nfbits=6, loss=0.012417403115437198
abits=6, wbits=4, nfbits=7, loss=0.012418447659374813
abits=6, wbits=4, nfbits=8, loss=0.012406110106847988
abits=6, wbits=4, nfbits=9, loss=0.012419375364119425
abits=6, wbits=4, nfbits=10, loss=0.012416052727554088
abits=6, wbits=4, nfbits=11, loss=0.012417680219723245
abits=6, wbits=4, nfbits=12, loss=0.012408153936028099
abits=7, wbits=4, nfbits=1, loss=0.012944362580012053
abits=7, wbits=4, nfbits=2, loss=0.012689085032504339
abits=7, wbits=4, nfbits=3, loss=0.012655649178971847
abits=7, wbits=4, nfbits=4, loss=0.012651021723659376
abits=7, wbits=4, nfbits=5, loss=0.012646024330304219
abits=7, wbits=4, nfbits=6, loss=0.012648672820665898
abits=7, wbits=4, nfbits=7, loss=0.012643517765144888
abits=7, wbits=4, nfbits=8, loss=0.012652069563046098
abits=7, wbits=4, nfbits=9, loss=0.0126559126119201
abits=7, wbits=4, nfbits=10, loss=0.012648309951122755
abits=7, wbits=4, nfbits=11, loss=0.01265418287127828
abits=7, wbits=4, nfbits=12, loss=0.012644677005039576
abits=8, wbits=4, nfbits=1, loss=0.013094622313450927
abits=8, wbits=4, nfbits=2, loss=0.012818714896312509
abits=8, wbits=4, nfbits=3, loss=0.012783865199591488
abits=8, wbits=4, nfbits=4, loss=0.012776966063449016
abits=8, wbits=4, nfbits=5, loss=0.012778119703468222
abits=8, wbits=4, nfbits=6, loss=0.012777217645914508
abits=8, wbits=4, nfbits=7, loss=0.012776384870402323
abits=8, wbits=4, nfbits=8, loss=0.012788993957189795
abits=8, wbits=4, nfbits=9, loss=0.012778132061402384
abits=8, wbits=4, nfbits=10, loss=0.012779481565723052
abits=8, wbits=4, nfbits=11, loss=0.01277750804542731
abits=8, wbits=4, nfbits=12, loss=0.012780060251362814
abits=9, wbits=4, nfbits=1, loss=0.0131693322939846
abits=9, wbits=4, nfbits=2, loss=0.012905365279995097
abits=9, wbits=4, nfbits=3, loss=0.01287492904931498
