Quantized Value,Count,Percentage,Hamming Distance,Hamming x Percentage
-128,0,0.00,1,0.00
-127,0,0.00,2,0.00
-126,0,0.00,2,0.00
-125,0,0.00,3,0.00
-124,0,0.00,2,0.00
-123,0,0.00,3,0.00
-122,1,0.01,3,0.02
-121,0,0.00,4,0.00
-120,2,0.01,2,0.03
-119,2,0.01,3,0.04
-118,1,0.01,3,0.02
-117,1,0.01,4,0.03
-116,1,0.01,3,0.02
-115,4,0.03,4,0.11
-114,4,0.03,4,0.11
-113,0,0.00,5,0.00
-112,5,0.03,2,0.07
-111,4,0.03,3,0.08
-110,2,0.01,3,0.04
-109,5,0.03,4,0.14
-108,9,0.06,3,0.19
-107,9,0.06,4,0.25
-106,7,0.05,4,0.19
-105,10,0.07,5,0.35
-104,14,0.10,3,0.29
-103,20,0.14,4,0.56
-102,11,0.08,4,0.31
-101,15,0.10,5,0.52
-100,23,0.16,4,0.64
-99,19,0.13,5,0.66
-98,31,0.22,5,1.08
-97,33,0.23,6,1.38
-96,46,0.32,2,0.64
-95,38,0.26,3,0.79
-94,40,0.28,3,0.83
-93,36,0.25,4,1.00
-92,38,0.26,3,0.79
-91,49,0.34,4,1.36
-90,57,0.40,4,1.58
-89,55,0.38,5,1.91
-88,55,0.38,3,1.15
-87,67,0.47,4,1.86
-86,76,0.53,4,2.11
-85,62,0.43,5,2.15
-84,56,0.39,4,1.56
-83,72,0.50,5,2.50
-82,61,0.42,5,2.12
-81,73,0.51,6,3.04
-80,74,0.51,3,1.54
-79,72,0.50,4,2.00
-78,64,0.44,4,1.78
-77,62,0.43,5,2.15
-76,72,0.50,4,2.00
-75,64,0.44,5,2.22
-74,63,0.44,5,2.19
-73,84,0.58,6,3.50
-72,75,0.52,4,2.08
-71,70,0.49,5,2.43
-70,90,0.62,5,3.12
-69,76,0.53,6,3.17
-68,79,0.55,5,2.74
-67,59,0.41,6,2.46
-66,73,0.51,6,3.04
-65,70,0.49,7,3.40
-64,79,0.55,2,1.10
-63,64,0.44,3,1.33
-62,84,0.58,3,1.75
-61,77,0.53,4,2.14
-60,79,0.55,3,1.65
-59,67,0.47,4,1.86
-58,86,0.60,4,2.39
-57,82,0.57,5,2.85
-56,93,0.65,3,1.94
-55,77,0.53,4,2.14
-54,82,0.57,4,2.28
-53,68,0.47,5,2.36
-52,95,0.66,4,2.64
-51,76,0.53,5,2.64
-50,82,0.57,5,2.85
-49,82,0.57,6,3.42
-48,66,0.46,3,1.38
-47,98,0.68,4,2.72
-46,79,0.55,4,2.19
-45,87,0.60,5,3.02
-44,86,0.60,4,2.39
-43,65,0.45,5,2.26
-42,78,0.54,5,2.71
-41,80,0.56,6,3.33
-40,67,0.47,4,1.86
-39,86,0.60,5,2.99
-38,68,0.47,5,2.36
-37,83,0.58,6,3.46
-36,71,0.49,5,2.47
-35,62,0.43,6,2.58
-34,79,0.55,6,3.29
-33,80,0.56,7,3.89
-32,66,0.46,3,1.38
-31,75,0.52,4,2.08
-30,68,0.47,4,1.89
-29,76,0.53,5,2.64
-28,89,0.62,4,2.47
-27,86,0.60,5,2.99
-26,76,0.53,5,2.64
-25,76,0.53,6,3.17
-24,82,0.57,4,2.28
-23,77,0.53,5,2.67
-22,85,0.59,5,2.95
-21,66,0.46,6,2.75
-20,87,0.60,5,3.02
-19,78,0.54,6,3.25
-18,93,0.65,6,3.88
-17,89,0.62,7,4.33
-16,72,0.50,4,2.00
-15,84,0.58,5,2.92
-14,91,0.63,5,3.16
-13,79,0.55,6,3.29
-12,77,0.53,5,2.67
-11,70,0.49,6,2.92
-10,75,0.52,6,3.12
-9,63,0.44,7,3.06
-8,93,0.65,5,3.23
-7,91,0.63,6,3.79
-6,71,0.49,6,2.96
-5,82,0.57,7,3.99
-4,74,0.51,6,3.08
-3,88,0.61,7,4.28
-2,79,0.55,7,3.84
-1,84,0.58,8,4.67
0,68,0.47,0,0.00
1,73,0.51,1,0.51
2,79,0.55,1,0.55
3,81,0.56,2,1.12
4,83,0.58,1,0.58
5,79,0.55,2,1.10
6,83,0.58,2,1.15
7,74,0.51,3,1.54
8,67,0.47,1,0.47
9,83,0.58,2,1.15
10,58,0.40,2,0.81
11,81,0.56,3,1.69
12,88,0.61,2,1.22
13,82,0.57,3,1.71
14,76,0.53,3,1.58
15,81,0.56,4,2.25
16,94,0.65,1,0.65
17,83,0.58,2,1.15
18,78,0.54,2,1.08
19,78,0.54,3,1.63
20,83,0.58,2,1.15
21,75,0.52,3,1.56
22,77,0.53,3,1.60
23,92,0.64,4,2.56
24,84,0.58,2,1.17
25,87,0.60,3,1.81
26,69,0.48,3,1.44
27,77,0.53,4,2.14
28,74,0.51,3,1.54
29,76,0.53,4,2.11
30,65,0.45,4,1.81
31,67,0.47,5,2.33
32,82,0.57,1,0.57
33,75,0.52,2,1.04
34,77,0.53,2,1.07
35,75,0.52,3,1.56
36,71,0.49,2,0.99
37,70,0.49,3,1.46
38,87,0.60,3,1.81
39,79,0.55,4,2.19
40,83,0.58,2,1.15
41,88,0.61,3,1.83
42,97,0.67,3,2.02
43,91,0.63,4,2.53
44,86,0.60,3,1.79
45,81,0.56,4,2.25
46,85,0.59,4,2.36
47,81,0.56,5,2.81
48,77,0.53,2,1.07
49,71,0.49,3,1.48
50,87,0.60,3,1.81
51,70,0.49,4,1.94
52,75,0.52,3,1.56
53,67,0.47,4,1.86
54,73,0.51,4,2.03
55,85,0.59,5,2.95
56,84,0.58,3,1.75
