Quantized Value,Count,Percentage,Hamming Distance,Hamming x Percentage
57,80,0.56,4,2.22
58,96,0.67,4,2.67
59,72,0.50,5,2.50
60,87,0.60,4,2.42
61,73,0.51,5,2.53
62,81,0.56,5,2.81
63,82,0.57,6,3.42
64,84,0.58,1,0.58
65,65,0.45,2,0.90
66,73,0.51,2,1.01
67,68,0.47,3,1.42
68,63,0.44,2,0.88
69,77,0.53,3,1.60
70,63,0.44,3,1.31
71,74,0.51,4,2.06
72,75,0.52,2,1.04
73,64,0.44,3,1.33
74,78,0.54,3,1.63
75,81,0.56,4,2.25
76,59,0.41,3,1.23
77,74,0.51,4,2.06
78,68,0.47,4,1.89
79,65,0.45,5,2.26
80,55,0.38,2,0.76
81,69,0.48,3,1.44
82,68,0.47,3,1.42
83,74,0.51,4,2.06
84,70,0.49,3,1.46
85,54,0.38,4,1.50
86,59,0.41,4,1.64
87,53,0.37,5,1.84
88,46,0.32,3,0.96
89,43,0.30,4,1.19
90,42,0.29,4,1.17
91,41,0.28,5,1.42
92,35,0.24,4,0.97
93,33,0.23,5,1.15
94,28,0.19,5,0.97
95,22,0.15,6,0.92
96,24,0.17,2,0.33
97,14,0.10,3,0.29
98,9,0.06,3,0.19
99,8,0.06,4,0.22
100,9,0.06,3,0.19
101,7,0.05,4,0.19
102,4,0.03,4,0.11
103,7,0.05,5,0.24
104,4,0.03,3,0.08
105,3,0.02,4,0.08
106,5,0.03,4,0.14
107,3,0.02,5,0.10
108,4,0.03,4,0.11
109,0,0.00,5,0.00
110,0,0.00,5,0.00
111,0,0.00,6,0.00
112,0,0.00,3,0.00
113,0,0.00,4,0.00
114,0,0.00,4,0.00
115,0,0.00,5,0.00
116,0,0.00,4,0.00
117,1,0.01,5,0.03
118,0,0.00,5,0.00
119,0,0.00,6,0.00
120,0,0.00,4,0.00
121,0,0.00,5,0.00
122,0,0.00,5,0.00
123,0,0.00,6,0.00
124,0,0.00,5,0.00
125,0,0.00,6,0.00
126,0,0.00,6,0.00
127,1,0.01,7,0.05
