Quantized Value,Count,Percentage,Hamming Distance,Hamming x Percentage
-128,0,0.00,1,0.00
-127,1,0.01,2,0.01
-126,0,0.00,2,0.00
-125,0,0.00,3,0.00
-124,0,0.00,2,0.00
-123,0,0.00,3,0.00
-122,1,0.01,3,0.02
-121,0,0.00,4,0.00
-120,0,0.00,2,0.00
-119,0,0.00,3,0.00
-118,0,0.00,3,0.00
-117,1,0.01,4,0.03
-116,1,0.01,3,0.02
-115,5,0.03,4,0.14
-114,0,0.00,4,0.00
-113,2,0.01,5,0.07
-112,6,0.04,2,0.08
-111,4,0.03,3,0.08
-110,4,0.03,3,0.08
-109,2,0.01,4,0.06
-108,11,0.08,3,0.23
-107,6,0.04,4,0.17
-106,15,0.10,4,0.42
-105,14,0.10,5,0.49
-104,11,0.08,3,0.23
-103,16,0.11,4,0.44
-102,20,0.14,4,0.56
-101,24,0.17,5,0.83
-100,25,0.17,4,0.69
-99,39,0.27,5,1.35
-98,40,0.28,5,1.39
-97,36,0.25,6,1.50
-96,43,0.30,2,0.60
-95,47,0.33,3,0.98
-94,57,0.40,3,1.19
-93,47,0.33,4,1.31
-92,62,0.43,3,1.29
-91,69,0.48,4,1.92
-90,53,0.37,4,1.47
-89,51,0.35,5,1.77
-88,62,0.43,3,1.29
-87,60,0.42,4,1.67
-86,57,0.40,4,1.58
-85,75,0.52,5,2.60
-84,75,0.52,4,2.08
-83,68,0.47,5,2.36
-82,81,0.56,5,2.81
-81,70,0.49,6,2.92
-80,76,0.53,3,1.58
-79,65,0.45,4,1.81
-78,77,0.53,4,2.14
-77,70,0.49,5,2.43
-76,73,0.51,4,2.03
-75,83,0.58,5,2.88
-74,75,0.52,5,2.60
-73,78,0.54,6,3.25
-72,81,0.56,4,2.25
-71,78,0.54,5,2.71
-70,91,0.63,5,3.16
-69,66,0.46,6,2.75
-68,73,0.51,5,2.53
-67,77,0.53,6,3.21
-66,56,0.39,6,2.33
-65,68,0.47,7,3.31
-64,80,0.56,2,1.11
-63,70,0.49,3,1.46
-62,73,0.51,3,1.52
-61,76,0.53,4,2.11
-60,82,0.57,3,1.71
-59,88,0.61,4,2.44
-58,81,0.56,4,2.25
-57,67,0.47,5,2.33
-56,81,0.56,3,1.69
-55,82,0.57,4,2.28
-54,76,0.53,4,2.11
-53,69,0.48,5,2.40
-52,84,0.58,4,2.33
-51,86,0.60,5,2.99
-50,65,0.45,5,2.26
-49,74,0.51,6,3.08
-48,81,0.56,3,1.69
-47,56,0.39,4,1.56
-46,73,0.51,4,2.03
-45,61,0.42,5,2.12
-44,79,0.55,4,2.19
-43,77,0.53,5,2.67
-42,83,0.58,5,2.88
-41,74,0.51,6,3.08
-40,66,0.46,4,1.83
-39,72,0.50,5,2.50
-38,81,0.56,5,2.81
-37,67,0.47,6,2.79
-36,76,0.53,5,2.64
-35,93,0.65,6,3.88
-34,68,0.47,6,2.83
-33,75,0.52,7,3.65
-32,74,0.51,3,1.54
-31,70,0.49,4,1.94
-30,74,0.51,4,2.06
-29,66,0.46,5,2.29
-28,54,0.38,4,1.50
