Quantized Value,Count,Percentage,Hamming Distance,Hamming x Percentage
89,2,0.42,4,1.67
90,0,0.00,4,0.00
91,2,0.42,5,2.08
92,1,0.21,4,0.83
93,0,0.00,5,0.00
94,0,0.00,5,0.00
95,1,0.21,6,1.25
96,2,0.42,2,0.83
97,0,0.00,3,0.00
98,2,0.42,3,1.25
99,3,0.62,4,2.50
100,0,0.00,3,0.00
101,1,0.21,4,0.83
102,2,0.42,4,1.67
103,2,0.42,5,2.08
104,0,0.00,3,0.00
105,0,0.00,4,0.00
106,0,0.00,4,0.00
107,2,0.42,5,2.08
108,0,0.00,4,0.00
109,0,0.00,5,0.00
110,0,0.00,5,0.00
111,1,0.21,6,1.25
112,0,0.00,3,0.00
113,2,0.42,4,1.67
114,0,0.00,4,0.00
115,0,0.00,5,0.00
116,0,0.00,4,0.00
117,1,0.21,5,1.04
118,0,0.00,5,0.00
119,1,0.21,6,1.25
120,0,0.00,4,0.00
121,0,0.00,5,0.00
122,0,0.00,5,0.00
123,0,0.00,6,0.00
124,0,0.00,5,0.00
125,0,0.00,6,0.00
126,0,0.00,6,0.00
127,1,0.21,7,1.46
